id_os,tem_linha_preventiva,tem_linha_nao_preventiva,linhas_mao_obra,os_preventiva_mista
100918266,True,True,3,True
100918355,True,True,6,True
100918541,True,True,5,True
100919002,True,True,3,True
100920935,True,True,8,True
100921893,True,False,1,False
100922941,True,True,5,True
100924033,True,True,3,True
100924162,False,True,3,False
100924174,False,True,1,False
100924402,False,True,3,False
100924536,True,True,4,True
100929794,True,True,6,True
100931639,True,True,7,True
100932162,True,True,2,True
100933092,True,True,5,True
100934848,False,True,9,False
100935423,False,True,1,False
100938369,True,True,10,True
100938373,False,True,1,False
100939060,False,True,1,False
100939807,True,True,4,True
100940252,True,True,9,True
100940602,False,True,4,False
100942615,False,True,3,False
100949748,True,True,2,True
100955531,True,True,3,True
100955569,False,True,6,False
100955584,True,True,6,True
100956141,True,True,4,True
100956279,False,True,3,False
100956380,True,True,5,True
100956510,True,False,1,False
100957761,False,True,2,False
100958513,True,True,10,True
100959679,True,True,9,True
100960797,False,True,1,False
100961492,True,True,3,True
100962941,True,True,2,True
100963461,True,True,11,True
100964094,True,False,1,False
100966004,True,True,7,True
100966270,False,True,2,False
100966621,True,True,9,True
100967711,True,True,3,True
100968629,True,True,2,True
100969364,True,True,3,True
100970084,True,True,3,True
100971310,False,True,1,False
100972387,False,True,1,False
100972586,True,True,4,True
100972596,True,True,9,True
100972601,False,True,3,False
100977280,False,True,1,False
100981854,True,True,4,True
100981934,True,True,4,True
100981991,True,True,3,True
100982403,True,False,1,False
100982986,False,True,1,False
100983190,True,True,4,True
100983287,False,True,4,False
100984965,False,True,2,False
100986240,True,True,5,True
100986414,True,True,3,True
100987564,True,True,4,True
100987908,False,True,1,False
100987982,False,True,2,False
100988461,False,True,2,False
100988539,True,True,3,True
100988728,True,True,8,True
100989220,True,True,3,True
100990353,True,True,2,True
100990450,True,True,8,True
100990623,True,True,8,True
100990642,True,True,4,True
100990682,False,True,1,False
100990852,True,True,2,True
100990865,True,True,6,True
100991181,False,True,2,False
100991213,True,True,5,True
100991224,True,True,6,True
100991996,True,True,2,True
100992202,False,True,1,False
100992301,True,True,4,True
100992907,False,True,1,False
100993293,True,False,3,False
100993472,True,True,14,True
100993597,True,True,4,True
100993983,False,True,1,False
100994900,True,False,1,False
100994905,True,True,3,True
100995077,True,True,3,True
100997145,True,True,10,True
100997507,True,True,3,True
100998308,True,True,2,True
100999235,True,True,2,True
101001571,True,True,4,True
101002654,True,True,4,True
101003579,False,True,1,False
101004625,False,True,1,False
101004684,True,True,3,True
101005061,True,True,7,True
101005231,True,True,3,True
101005972,False,True,2,False
101007252,True,True,3,True
101009980,False,True,1,False
101010399,True,True,4,True
101011660,True,True,3,True
101011677,True,True,5,True
101016511,True,True,7,True
101021788,False,True,1,False
101023966,True,True,3,True
101026111,False,True,1,False
101026288,True,False,1,False
101026876,True,False,1,False
101026880,True,True,5,True
101026941,False,True,1,False
101027033,True,True,2,True
101028265,True,True,6,True
101033216,False,True,2,False
101033561,True,True,4,True
101034144,True,True,3,True
101034510,False,True,2,False
101035037,False,True,2,False
101035154,False,True,2,False
101035240,False,True,2,False
101035315,False,True,1,False
101035595,False,True,2,False
101036439,True,True,2,True
101036915,False,True,5,False
101037936,True,True,4,True
101039838,True,True,4,True
101041328,True,True,4,True
101041513,True,True,6,True
101041538,True,True,3,True
101042286,True,True,11,True
101042315,True,True,3,True
101042343,True,True,6,True
101043292,True,False,3,False
101043702,True,True,7,True
101043728,False,True,1,False
101044103,False,True,1,False
101046475,False,True,2,False
101046518,True,True,2,True
101047312,True,True,3,True
101047497,True,True,2,True
101047903,False,True,1,False
101048332,True,True,2,True
101048586,False,True,7,False
101048952,True,True,3,True
101049817,True,True,2,True
101050396,False,True,5,False
101052490,True,False,1,False
101053142,True,True,3,True
101053726,True,False,1,False
101055292,True,True,2,True
101056430,False,True,2,False
101056627,False,True,2,False
101057641,True,True,3,True
101057796,True,True,8,True
101058370,False,True,1,False
101058426,False,True,1,False
101060100,True,True,3,True
101060427,True,True,5,True
101060722,False,True,2,False
101061274,True,True,2,True
101062263,True,True,5,True
101062384,False,True,1,False
101063440,True,True,2,True
101063880,True,True,4,True
101064249,True,True,4,True
101065967,True,True,5,True
101066058,True,False,1,False
101066954,True,True,2,True
101067778,False,True,1,False
101073305,False,True,2,False
101073378,False,True,1,False
101073600,False,True,3,False
101074438,True,True,6,True
101074553,True,True,3,True
101074565,False,True,3,False
101075104,True,True,4,True
101076214,False,True,1,False
101076884,True,True,11,True
101076997,False,True,2,False
101077050,True,True,3,True
101077143,False,True,3,False
101077257,True,True,3,True
101077962,True,True,2,True
101078625,True,True,2,True
101079419,True,False,1,False
101080864,False,True,3,False
101084997,True,True,4,True
101091836,True,True,8,True
101093156,True,True,8,True
101095107,True,True,8,True
101095297,False,True,3,False
101096757,False,True,1,False
101097869,True,True,4,True
101101334,True,False,1,False
101101811,False,True,3,False
101101963,False,True,2,False
101102014,True,True,6,True
101103522,True,True,9,True
101105340,False,True,1,False
101106007,True,True,2,True
101107203,False,True,1,False
101108546,False,True,4,False
101109248,False,True,1,False
101109663,True,True,4,True
101110026,True,True,3,True
101111799,True,True,5,True
101111856,False,True,7,False
101113180,False,True,5,False
101113805,False,True,1,False
101114002,True,True,2,True
101114167,False,True,2,False
101114176,True,True,6,True
101114451,True,True,2,True
101114507,True,True,4,True
101115113,False,True,2,False
101115511,True,True,6,True
101116145,True,True,4,True
101117177,False,True,2,False
101117187,True,True,4,True
101117444,False,True,3,False
101117992,True,True,3,True
101118959,False,True,3,False
101119370,True,True,3,True
101119627,True,True,3,True
101120116,True,True,9,True
101121683,True,True,2,True
101121807,False,True,1,False
101121840,True,True,12,True
101122249,True,True,2,True
101123048,True,True,3,True
101123628,False,True,2,False
101124027,True,True,5,True
101124063,True,True,2,True
101124557,False,True,2,False
101124561,True,True,6,True
101124663,False,True,1,False
101126704,True,True,4,True
101126715,True,True,2,True
101127905,True,True,4,True
101127957,True,True,5,True
101128075,True,True,3,True
101128261,False,True,2,False
101128273,True,True,3,True
101128323,False,True,3,False
101128961,True,True,2,True
101128977,True,True,11,True
101129578,True,True,5,True
101130359,True,True,9,True
101130481,True,True,6,True
101130649,False,True,2,False
101130754,False,True,3,False
101131061,True,True,3,True
101132343,True,True,5,True
101132438,True,True,4,True
101132958,True,True,5,True
101133660,True,True,3,True
101133692,False,True,1,False
101134716,True,True,2,True
101134986,True,True,3,True
101135038,True,True,11,True
101136956,False,True,2,False
101137438,True,True,5,True
101140284,True,True,11,True
101140451,False,True,1,False
101140540,False,True,1,False
101141963,True,True,7,True
101142025,True,True,8,True
101143302,True,True,4,True
