,ano_modelo,eixos,comprimento,idade_carreta,km_acumulado_fim_ano,km_rodado_ano,n_sistemas_vmrs_distintos_ano,share_pm_ano,n_os_ano,custo_medio_por_os_ano,n_os_ano_anterior,n_os_acum_ate_ano_anterior,anos_ativo_ate_ano_anterior,custo_ano_anterior,custo_acum_ate_ano_anterior,tempo_contrato_meses_fim_ano,tempo_contrato_meses_inicio_ano,share_maint_ano,n_clientes_ano,trocou_contrato_ano
n_os_ano_anterior,0.2734295794495764,0.0349238983007757,-0.11446171066508316,-0.2073304872406097,0.40080667894321076,0.44726240356884117,0.5134353380476312,-0.22295427760812325,0.6176045492946772,0.23445124604629344,1.0,0.7328675891099409,0.1759392117549803,0.7679822043903799,0.5927208040494326,0.11734514548184125,0.1378937361019986,0.15638760983717284,0.2713722022455556,0.07412225960984968
n_os_acum_ate_ano_anterior,0.05653807886617694,-0.0020949059787535246,-0.07063188645405986,0.17340237579196288,0.4829635229284623,0.3299616648793241,0.3867529727490598,-0.148412532098138,0.44019811900844064,0.2828713265358191,0.7328675891099409,1.0,0.8407884094676731,0.6493762775899103,0.9214259874110915,0.31578048912831347,0.2769259857253812,0.24188225460237744,0.20919418372766255,0.1720261360078682
anos_ativo_ate_ano_anterior,-0.07737781114544805,-0.025706366724718675,-0.012055892686882024,0.3365307755554283,0.34112542999744505,-0.020640945602896688,0.18888023621875355,-0.022644757193889236,0.18534131472086782,0.21055115387770823,0.1759392117549803,0.8407884094676731,1.0,0.2313197647685393,0.8025531819064696,0.3178513187200816,0.3118870324940708,0.17461426285973783,0.10903277633970497,0.16265158996242515
custo_ano_anterior,0.03104460404996446,0.06624801368305393,-0.08937962179825563,0.030425853076721483,0.4293251865094432,0.33857538689379846,0.450651797483561,-0.1288420097238424,0.4934449162846127,0.3486426447374221,0.7679822043903799,0.6493762775899103,0.2313197647685393,1.0,0.7762450496664229,0.08369415975196491,0.1324464075310857,0.10882561298227587,0.16757454580632497,0.1142771823201522
custo_acum_ate_ano_anterior,-0.09843246842727132,0.033251263864038275,-0.05904856862445058,0.30169177758782817,0.4884877621910918,0.23487959120633983,0.349338981007899,-0.10133103615897225,0.36744836865484165,0.3365118275015469,0.5927208040494326,0.9214259874110915,0.8025531819064696,0.7762450496664229,1.0,0.25601635084684315,0.2099905420154638,0.20252519828337576,0.12843910144696924,0.1970690138886698
tempo_contrato_meses_fim_ano,-0.00511861776179969,0.014751607033705663,-0.04085427346165321,0.07915068507205945,0.2598406810133622,0.03306469728722141,0.10991487833809536,-0.1556934021794367,0.1507196959777116,0.05336169497935032,0.11734514548184125,0.31578048912831347,0.3178513187200816,0.08369415975196491,0.25601635084684315,1.0,0.7670886184069767,0.29859281935999665,0.17642311065616248,-0.37673383255824877
tempo_contrato_meses_inicio_ano,-0.029899150167403424,0.0243001152466579,-0.035099796486213614,0.10290635272399462,0.21840878872828964,-0.0008758592469919142,0.11921663374601403,-0.1372270082450286,0.13789173992839474,0.046656511283033116,0.1378937361019986,0.2769259857253812,0.3118870324940708,0.1324464075310857,0.2099905420154638,0.7670886184069767,1.0,0.07055197656601894,0.22916558960706215,0.09603819713425499
share_maint_ano,0.0059429376779856135,-0.08783104845527588,0.09878398376709449,-0.0009600878951733768,0.10763722606602442,0.253632186742419,0.1907690204467763,0.05658079550781425,0.19826631160692912,0.19682422967753138,0.15638760983717284,0.24188225460237744,0.17461426285973783,0.10882561298227587,0.20252519828337576,0.29859281935999665,0.07055197656601894,1.0,0.3384567945507287,-0.0091232562463606
n_clientes_ano,0.1199848389083023,-0.025053981878297108,0.012883785855546422,-0.08792944831226633,0.20634066782261234,0.20702379468811746,0.2613793228374455,-0.1585334231230187,0.33428856729584827,0.06566805682156246,0.2713722022455556,0.20919418372766255,0.10903277633970497,0.16757454580632497,0.12843910144696924,0.17642311065616248,0.22916558960706215,0.3384567945507287,1.0,0.017858822164470562
trocou_contrato_ano,-0.10210923565654621,-0.01944757086218,0.004818807415242373,0.13669815289447668,0.11723048069075719,-0.0023812526986478947,0.05128035322772278,0.025646504749819735,0.036357756149565566,0.10477762944611439,0.07412225960984968,0.1720261360078682,0.16265158996242515,0.1142771823201522,0.1970690138886698,-0.37673383255824877,0.09603819713425499,-0.0091232562463606,0.017858822164470562,1.0
