"ID_CARRETA","DESCRICAO_CARRETA","CHASSI_VIN","PLACA","COD_MONTADORA","COD_MODELO","ANO_MODELO","DATA_ENTRADA_SERVICO","EIXOS","COMPRIMENTO","FLAG_REFRIGERADO","COD_CLASSE","CLASSE","IDADE_CLASSE_DE","IDADE_CLASSE_ATE","COD_GRUPO_MANUTENCAO","GRUPO_MANUTENCAO","STATUS_EQUIPAMENTO"
115759604,"40-53' EXT. TRIDEM CHASSIS","2VMMCS539NS000114","V1580K","MCHAS","",2022,,3,"53","N","HIGHWAY","Highway Trailers (Class 1)",0,7,"","","Maintenance Lease"
115759606,"40-53' EXT. TRIDEM CHASSIS","2VMMCS530NS000115","V1577K","MCHAS","",2022,,3,"53","N","HIGHWAY","Highway Trailers (Class 1)",0,7,"","","Maintenance Lease"
115759608,"40-53' EXT. TRIDEM CHASSIS","2VMMCS532NS000116","V1578K","MCHAS","",2022,,3,"53","N","HIGHWAY","Highway Trailers (Class 1)",0,7,"","","Maintenance Lease"
115759610,"40-53' EXT. TRIDEM CHASSIS","2VMMCS534NS000117","V1579K","MCHAS","",2022,,3,"53","N","HIGHWAY","Highway Trailers (Class 1)",0,7,"","","Maintenance Lease"
115759643,"40-53' EXT. QUAD CHASSIS","2VMMCS549NS000087","W4261H","MCHAS","",2022,2021-02-11T00:00:00,4,"53","N","HIGHWAY","Highway Trailers (Class 1)",0,7,"","","Maintenance Lease"
115759645,"40-53' EXT. QUAD CHASSIS","2VMMCS540NS000088","W4262H","MCHAS","",2022,,4,"53","N","HIGHWAY","Highway Trailers (Class 1)",0,7,"","","Maintenance Lease"
115759647,"40-53' EXT. QUAD CHASSIS","2VMMCS542NS000089","W4263H","MCHAS","",2022,,4,"53","N","HIGHWAY","Highway Trailers (Class 1)",0,7,"","","Maintenance Lease"
115759649,"40-53' EXT. QUAD CHASSIS","2VMMCS549NS000090","W4264H","MCHAS","",2022,,4,"53","N","HIGHWAY","Highway Trailers (Class 1)",0,7,"","","Maintenance Lease"
115759651,"40-53' EXT. QUAD CHASSIS","2VMMCS540NS000091","W4265H","MCHAS","",2022,,4,"53","N","HIGHWAY","Highway Trailers (Class 1)",0,7,"","","Maintenance Lease"
115759653,"40-53' EXT. QUAD CHASSIS","2VMMCS542NS000092","W4266H","MCHAS","",2022,,4,"53","N","HIGHWAY","Highway Trailers (Class 1)",0,7,"","","Maintenance Lease"
116578781,"53' T/A PLATE VAN","1DW1A5323NSA60102","Z5335N","STGHTN","",2022,2021-01-13T00:00:00,2,"53","N","HIGHWAY","Highway Trailers (Class 1)",0,7,"","","Maintenance Lease"
116578783,"53' T/A PLATE VAN","1DW1A5329NSA60105","Z5336N","STGHTN","",2022,2021-01-15T00:00:00,2,"53","N","HIGHWAY","Highway Trailers (Class 1)",0,7,"","","Maintenance Lease"
116578785,"53' T/A PLATE VAN","1DW1A5320NSA60106","Z5337N","STGHTN","",2022,2021-01-14T00:00:00,2,"53","N","HIGHWAY","Highway Trailers (Class 1)",0,7,"","","Maintenance Lease"
116578787,"53' T/A PLATE VAN","1DW1A5326NSA60109","Z5070R","STGHTN","",2022,2021-01-18T00:00:00,2,"53","N","HIGHWAY","Highway Trailers (Class 1)",0,7,"","","Net Lease"
116578789,"53' T/A PLATE VAN","1DW1A5324NSA60111","Z5075R","STGHTN","",2022,2021-01-15T00:00:00,2,"53","N","HIGHWAY","Highway Trailers (Class 1)",0,7,"","","Net Lease"
116578791,"53' T/A PLATE VAN","1DW1A5326NSA60112","Z6031M","STGHTN","",2022,2021-01-21T00:00:00,2,"53","N","HIGHWAY","Highway Trailers (Class 1)",0,7,"","","Maintenance Lease"
116578793,"53' T/A PLATE VAN","1DW1A5328NSA60113","Z8401Z","STGHTN","",2022,2021-01-15T00:00:00,2,"53","N","HIGHWAY","Highway Trailers (Class 1)",0,7,"","","On Rent"
116578795,"53' T/A PLATE VAN","1DW1A532XNSA60114","Z5437N","STGHTN","",2022,2021-01-15T00:00:00,2,"53","N","HIGHWAY","Highway Trailers (Class 1)",0,7,"","","Maintenance Lease"
116578797,"53' T/A PLATE VAN","1DW1A5321NSA60115","Z5438N","STGHTN","",2022,2021-01-18T00:00:00,2,"53","N","HIGHWAY","Highway Trailers (Class 1)",0,7,"","","Maintenance Lease"
116578799,"53' T/A PLATE VAN","1DW1A5323NSA60116","Z5444N","STGHTN","",2022,2021-01-21T00:00:00,2,"53","N","HIGHWAY","Highway Trailers (Class 1)",0,7,"","","Maintenance Lease"
116578801,"53' T/A PLATE VAN","1DW1A5325NSA60117","Z5439N","STGHTN","",2022,2021-01-18T00:00:00,2,"53","N","HIGHWAY","Highway Trailers (Class 1)",0,7,"","","Maintenance Lease"
116578803,"53' T/A PLATE VAN","1DW1A5327NSA60118","Z8836N","STGHTN","",2022,2021-01-19T00:00:00,2,"53","N","HIGHWAY","Highway Trailers (Class 1)",0,7,"","","Net Lease"
116578805,"53' T/A PLATE VAN","1DW1A5329NSA60119","Z1557T","STGHTN","",2022,2021-01-20T00:00:00,2,"53","N","HIGHWAY","Highway Trailers (Class 1)",0,7,"","","Net Lease"
116578807,"53' T/A PLATE VAN","1DW1A5325NSA60120","Z6173P","STGHTN","",2022,2021-01-22T00:00:00,2,"53","N","HIGHWAY","Highway Trailers (Class 1)",0,7,"","","Net Lease"
116578809,"53' T/A PLATE VAN","1DW1A5327NSA60121","Z8879N","STGHTN","",2022,2021-01-11T00:00:00,2,"53","N","HIGHWAY","Highway Trailers (Class 1)",0,7,"","","Net Lease"
116578811,"53' T/A PLATE VAN","1DW1A5329NSA60122","Z5074R","STGHTN","",2022,2021-01-19T00:00:00,2,"53","N","HIGHWAY","Highway Trailers (Class 1)",0,7,"","","Net Lease"
116578813,"53' T/A PLATE VAN","1DW1A5324NSA60125","Z4181M","STGHTN","",2022,2021-01-19T00:00:00,2,"53","N","HIGHWAY","Highway Trailers (Class 1)",0,7,"","","Maintenance Lease"
116578815,"53' T/A PLATE VAN","1DW1A5328NSA60130","Z4817R","STGHTN","",2022,2021-01-27T00:00:00,2,"53","N","HIGHWAY","Highway Trailers (Class 1)",0,7,"","","Maintenance Lease"
116578817,"53' T/A PLATE VAN","1DW1A5327NSA60135","Z8880N","STGHTN","",2022,2021-01-19T00:00:00,2,"53","N","HIGHWAY","Highway Trailers (Class 1)",0,7,"","","Net Lease"
116578819,"53' T/A PLATE VAN","1DW1A5329NSA60136","Z5069R","STGHTN","",2022,2021-01-21T00:00:00,2,"53","N","HIGHWAY","Highway Trailers (Class 1)",0,7,"","","Net Lease"
116578821,"53' T/A PLATE VAN","1DW1A5320NSA60137","Z5073R","STGHTN","",2022,2021-02-02T00:00:00,2,"53","N","HIGHWAY","Highway Trailers (Class 1)",0,7,"","","Net Lease"
116578823,"53' T/A PLATE VAN","1DW1A5322NSA60138","Z5072R","STGHTN","",2022,2021-02-08T00:00:00,2,"53","N","HIGHWAY","Highway Trailers (Class 1)",0,7,"","","Net Lease"
116578825,"53' T/A PLATE VAN","1DW1A5324NSA60139","Z5071R","STGHTN","",2022,2021-01-15T00:00:00,2,"53","N","HIGHWAY","Highway Trailers (Class 1)",0,7,"","","Net Lease"
116578827,"53' T/A PLATE VAN","1DW1A5320NSA60140","Z6032M","STGHTN","",2022,2021-01-18T00:00:00,2,"53","N","HIGHWAY","Highway Trailers (Class 1)",0,7,"","","Maintenance Lease"
116578829,"53' T/A PLATE VAN","1DW1A5322NSA60141","Z4182M","STGHTN","",2022,2021-01-20T00:00:00,2,"53","N","HIGHWAY","Highway Trailers (Class 1)",0,7,"","","Maintenance Lease"
116578831,"53' T/A PLATE VAN","1DW1A5324NSA60142","Z4929R","STGHTN","",2022,2021-02-02T00:00:00,2,"53","N","HIGHWAY","Highway Trailers (Class 1)",0,7,"","","Net Lease"
116578833,"53' T/A PLATE VAN","1DW1A5328NSA60144","AA289F","STGHTN","",2022,2021-01-15T00:00:00,2,"53","N","HIGHWAY","Highway Trailers (Class 1)",0,7,"","","On Rent"
