ID_CARRETA,ano,y_custo_anual,custo_nominal,n_os_ano,n_os_preventivas_ano,custo_preventivo_ano,n_sistemas_vmrs,km_rodado_ano,delta_km_medio_os,km_acumulado_fim_ano,provincia_operacao,ano_modelo,ano_entrada,eixos,comprimento,flag_refrigerado,tailgate_flag,unit_subtype,tire_size,suspension_type,new_used_indicator,cod_montadora,vmrs_predominante,idade_carreta,share_prev,custo_medio_os,custo_acum,n_os_acum,custo_ano_anterior,n_os_ano_anterior,intervalo_medio_os_hist,anos_desde_ultima_os,km_acumulado_defasado
83038,2025,576.0993851778667,573.22,3,0,0.0,2,1678.0,559.3333333333334,223698.0,Ontario,2011.0,2010.0,2.0,53.0,N,N,DSS,295/75R22.5,SPRING,NEW,STGHTN,01,15.0,0.0,192.03312839262222,3952.982664780886,22,703.0302082494915,2.0,80.98011574074073,0.15331964407939766,222020.0
83039,2020,518.7242811307243,430.56,1,1,518.7242811307243,1,0.0,,163036.0,,2011.0,2010.0,2.0,53.0,N,N,DSS,295/75R22.5,SPRING,NEW,STGHTN,PM,10.0,1.0,518.7242811307243,0.0,0,,,,,
83039,2021,643.5854323343111,552.24,3,1,126.78483844641771,3,15806.0,5268.666666666667,178842.0,,2011.0,2010.0,2.0,53.0,N,N,DSS,295/75R22.5,SPRING,NEW,STGHTN,05,11.0,0.19699768216717373,214.52847744477037,518.7242811307243,1,518.7242811307243,1.0,,0.8076659822039699,163036.0
83039,2022,1114.233330149511,1020.98,3,1,198.1977267805958,2,17923.0,5974.333333333333,196765.0,Ontario,2011.0,2010.0,2.0,53.0,N,N,DSS,295/75R22.5,SPRING,NEW,STGHTN,01,12.0,0.1778781171031754,371.41111004983696,1162.3097134650354,4,643.5854323343111,3.0,195.8520486111111,0.1971252566735113,178842.0
83039,2023,4073.0399604942827,3877.8,8,0,0.0,3,13025.0,1628.125,209790.0,Ontario,2011.0,2010.0,2.0,53.0,N,N,DSS,295/75R22.5,SPRING,NEW,STGHTN,09,13.0,0.0,509.12999506178534,2276.543043614546,7,1114.233330149511,3.0,159.1296296296296,0.19164955509924708,196765.0
83039,2024,662.3447110888272,645.65,3,3,662.3447110888272,1,7563.0,2521.0,217353.0,Ontario,2011.0,2010.0,2.0,53.0,N,N,DSS,295/75R22.5,SPRING,NEW,STGHTN,PM,14.0,1.0,220.7815703629424,6349.583004108828,15,4073.0399604942827,8.0,93.97920469576717,0.2026009582477755,209790.0
83039,2025,995.7066115579846,990.73,7,2,504.4211322367875,4,4068.0,581.1428571428571,221421.0,Ontario,2011.0,2010.0,2.0,53.0,N,N,DSS,295/75R22.5,SPRING,NEW,STGHTN,PM,15.0,0.5065961462759784,142.24380165114067,7011.927715197656,18,662.3447110888272,3.0,100.54955065359479,0.12594113620807665,217353.0
83040,2020,441.66741328159503,366.6,1,1,441.66741328159503,1,0.0,,154410.0,,2011.0,2010.0,2.0,53.0,N,N,DSS,295/75R22.5,SPRING,NEW,STGHTN,PM,10.0,1.0,441.66741328159503,0.0,0,,,,,
83040,2021,284.56955466353776,244.18,1,1,284.56955466353776,1,10228.0,10228.0,164638.0,,2011.0,2010.0,2.0,53.0,N,N,DSS,295/75R22.5,SPRING,NEW,STGHTN,PM,11.0,1.0,284.56955466353776,441.66741328159503,1,441.66741328159503,1.0,,0.8186173853524983,154410.0
83040,2022,1230.5262092076039,1127.54,6,0,0.0,4,17927.0,2987.8333333333335,182565.0,Ontario,2011.0,2010.0,2.0,53.0,N,N,DSS,295/75R22.5,SPRING,NEW,STGHTN,01,12.0,0.0,205.08770153460065,726.2369679451328,2,284.56955466353776,1.0,370.76895833333333,0.8049281314168378,164638.0
83040,2023,3200.253185732118,3046.85,6,1,469.77870254543114,3,12174.0,2029.0,194739.0,Ontario,2011.0,2010.0,2.0,53.0,N,N,DSS,295/75R22.5,SPRING,NEW,STGHTN,01,13.0,0.14679423010650341,533.3755309553529,1956.7631771527367,8,1230.5262092076039,6.0,138.43471560846564,0.16427104722792607,182565.0
83040,2024,2678.34905211671,2610.84,8,0,0.0,5,5407.0,675.875,200146.0,Ontario,2011.0,2010.0,2.0,53.0,N,N,DSS,295/75R22.5,SPRING,NEW,STGHTN,01,14.0,0.0,334.79363151458875,5157.016362884855,14,3200.253185732118,6.0,103.69517628205128,0.12594113620807665,194739.0
83040,2025,958.4303019451884,953.64,2,1,799.5160372923076,2,2108.0,1054.0,202254.0,Ontario,2011.0,2010.0,2.0,53.0,N,N,DSS,295/75R22.5,SPRING,NEW,STGHTN,PM,15.0,0.8341931965941025,479.2151509725942,7835.3654150015645,22,2678.34905211671,8.0,83.38849206349205,0.024640657084188913,200146.0
83042,2020,279.8672670630511,232.3,1,0,0.0,1,0.0,,169891.0,,2011.0,2010.0,2.0,53.0,N,N,DSS,295/75R22.5,SPRING,NEW,STGHTN,01,10.0,0.0,279.8672670630511,0.0,0,,,,,
83042,2021,1337.53983900132,1147.7,3,1,350.0305747530247,3,16263.0,5421.0,186154.0,,2011.0,2010.0,2.0,53.0,N,N,DSS,295/75R22.5,SPRING,NEW,STGHTN,01,11.0,0.2616973076587959,445.84661300043996,279.8672670630511,1,279.8672670630511,1.0,,0.8021902806297057,169891.0
83042,2022,376.3694181753431,344.87,2,1,261.0041756337607,2,6095.0,3047.5,192249.0,,2011.0,2010.0,2.0,53.0,N,N,DSS,295/75R22.5,SPRING,NEW,STGHTN,PM,12.0,0.6934787021196392,188.18470908767156,1617.407106064371,4,1337.53983900132,3.0,207.00367283950618,0.10130047912388775,186154.0
83042,2023,2269.60273274425,2160.81,5,1,95.01449141944217,5,6351.0,1270.2,198600.0,Ontario,2011.0,2010.0,2.0,53.0,N,N,DSS,295/75R22.5,SPRING,NEW,STGHTN,02,13.0,0.04186393065563376,453.92054654885,1993.776524239714,6,376.3694181753431,2.0,186.39123842592593,0.24914442162902123,192249.0
83042,2024,229.6073619389783,223.82000000000002,2,2,229.6073619389783,1,4725.0,2362.5,203325.0,Ontario,2011.0,2010.0,2.0,53.0,N,N,DSS,295/75R22.5,SPRING,NEW,STGHTN,PM,14.0,1.0,114.80368096948915,4263.379256983964,11,2269.60273274425,5.0,135.00922685185188,0.10403832991101986,198600.0
83042,2025,2379.090863181756,2367.2,3,1,1495.0825274492277,3,5591.0,1863.6666666666667,208916.0,Ontario,2011.0,2010.0,2.0,53.0,N,N,DSS,295/75R22.5,SPRING,NEW,STGHTN,PM,15.0,0.6284259885096316,793.030287727252,4492.986618922942,13,229.6073619389783,2.0,141.462550154321,0.15331964407939766,203325.0
83044,2021,186.0225748029892,159.62,1,0,0.0,1,0.0,,179033.0,,2011.0,2010.0,2.0,53.0,N,N,DSS,295/75R22.5,SPRING,NEW,STGHTN,01,11.0,0.0,186.0225748029892,0.0,0,,,,,
83044,2022,294.8574518010097,270.18,2,0,0.0,1,8060.0,4030.0,187093.0,,2011.0,2010.0,2.0,53.0,N,N,DSS,295/75R22.5,SPRING,NEW,STGHTN,01,12.0,0.0,147.42872590050484,186.0225748029892,1,186.0225748029892,1.0,,0.5420944558521561,179033.0
83044,2023,2803.767775373826,2669.37,5,0,0.0,1,15785.0,3157.0,202878.0,,2011.0,2010.0,2.0,53.0,N,N,DSS,295/75R22.5,SPRING,NEW,STGHTN,01,13.0,0.0,560.7535550747652,480.8800266039989,3,294.8574518010097,2.0,264.9804398148148,0.09034907597535935,187093.0
83044,2024,645.3667741748335,629.1,5,1,127.81155046008982,3,8828.0,1765.6,211706.0,Ontario,2011.0,2010.0,2.0,53.0,N,N,DSS,295/75R22.5,SPRING,NEW,STGHTN,01,14.0,0.19804482594182166,129.0733548349667,3284.647801977825,8,2803.767775373826,5.0,120.2572371031746,0.23545516769336072,202878.0
83044,2025,739.6870076010225,735.99,4,1,354.71287987976046,3,12618.0,3154.5,224324.0,Ontario,2011.0,2010.0,2.0,53.0,N,N,DSS,295/75R22.5,SPRING,NEW,STGHTN,PM,15.0,0.4795445590293347,184.92175190025563,3930.0145761526587,13,645.3667741748335,5.0,106.84060088734567,0.03285420944558522,211706.0
83045,2020,407.066518274919,337.88,2,1,376.2726855322088,2,4679.0,4679.0,160970.0,,2011.0,2010.0,2.0,53.0,N,N,DSS,295/75R22.5,SPRING,NEW,STGHTN,PM,10.0,0.9243518408902569,203.5332591374595,0.0,0,,,,,
83045,2021,345.0076622270199,296.04,2,1,257.2989854968297,2,12518.0,6259.0,173488.0,,2011.0,2010.0,2.0,53.0,N,N,DSS,295/75R22.5,SPRING,NEW,STGHTN,PM,11.0,0.745777597621943,172.50383111350996,407.066518274919,2,407.066518274919,2.0,159.8675810185185,0.36960985626283366,160970.0
