ID_CARRETA,motivo
108886401,sem_ordem_de_servico_no_periodo_2020_2025
108886403,sem_ordem_de_servico_no_periodo_2020_2025
108886407,sem_ordem_de_servico_no_periodo_2020_2025
108886409,sem_ordem_de_servico_no_periodo_2020_2025
108886411,sem_ordem_de_servico_no_periodo_2020_2025
108886413,sem_ordem_de_servico_no_periodo_2020_2025
108886415,sem_ordem_de_servico_no_periodo_2020_2025
108886417,sem_ordem_de_servico_no_periodo_2020_2025
108886419,sem_ordem_de_servico_no_periodo_2020_2025
108886421,sem_ordem_de_servico_no_periodo_2020_2025
108886423,sem_ordem_de_servico_no_periodo_2020_2025
108886425,sem_ordem_de_servico_no_periodo_2020_2025
108886427,sem_ordem_de_servico_no_periodo_2020_2025
120242890,sem_ordem_de_servico_no_periodo_2020_2025
120242916,sem_ordem_de_servico_no_periodo_2020_2025
120242918,sem_ordem_de_servico_no_periodo_2020_2025
120242920,sem_ordem_de_servico_no_periodo_2020_2025
120242922,sem_ordem_de_servico_no_periodo_2020_2025
120242924,sem_ordem_de_servico_no_periodo_2020_2025
120242926,sem_ordem_de_servico_no_periodo_2020_2025
120242928,sem_ordem_de_servico_no_periodo_2020_2025
1454,sem_ordem_de_servico_no_periodo_2020_2025
1488,sem_ordem_de_servico_no_periodo_2020_2025
1527,sem_ordem_de_servico_no_periodo_2020_2025
1840,sem_ordem_de_servico_no_periodo_2020_2025
2258,sem_ordem_de_servico_no_periodo_2020_2025
2313,sem_ordem_de_servico_no_periodo_2020_2025
2319,sem_ordem_de_servico_no_periodo_2020_2025
2616,sem_ordem_de_servico_no_periodo_2020_2025
2757,sem_ordem_de_servico_no_periodo_2020_2025
2772,sem_ordem_de_servico_no_periodo_2020_2025
2778,sem_ordem_de_servico_no_periodo_2020_2025
296154373,sem_ordem_de_servico_no_periodo_2020_2025
296154554,sem_ordem_de_servico_no_periodo_2020_2025
296154809,sem_ordem_de_servico_no_periodo_2020_2025
3030,sem_ordem_de_servico_no_periodo_2020_2025
3054,sem_ordem_de_servico_no_periodo_2020_2025
3105,sem_ordem_de_servico_no_periodo_2020_2025
3394,sem_ordem_de_servico_no_periodo_2020_2025
342836103,sem_ordem_de_servico_no_periodo_2020_2025
342836137,sem_ordem_de_servico_no_periodo_2020_2025
3463,sem_ordem_de_servico_no_periodo_2020_2025
348,sem_ordem_de_servico_no_periodo_2020_2025
3491,sem_ordem_de_servico_no_periodo_2020_2025
36032233,sem_ordem_de_servico_no_periodo_2020_2025
36261169,sem_ordem_de_servico_no_periodo_2020_2025
36261171,sem_ordem_de_servico_no_periodo_2020_2025
364,sem_ordem_de_servico_no_periodo_2020_2025
375670,sem_ordem_de_servico_no_periodo_2020_2025
380271,sem_ordem_de_servico_no_periodo_2020_2025
380275,sem_ordem_de_servico_no_periodo_2020_2025
380277,sem_ordem_de_servico_no_periodo_2020_2025
380279,sem_ordem_de_servico_no_periodo_2020_2025
381740548,sem_ordem_de_servico_no_periodo_2020_2025
39128343,sem_ordem_de_servico_no_periodo_2020_2025
39128344,sem_ordem_de_servico_no_periodo_2020_2025
39128345,sem_ordem_de_servico_no_periodo_2020_2025
3947,sem_ordem_de_servico_no_periodo_2020_2025
3960,sem_ordem_de_servico_no_periodo_2020_2025
4019,sem_ordem_de_servico_no_periodo_2020_2025
4164,sem_ordem_de_servico_no_periodo_2020_2025
424134223,sem_ordem_de_servico_no_periodo_2020_2025
424137336,sem_ordem_de_servico_no_periodo_2020_2025
424137353,sem_ordem_de_servico_no_periodo_2020_2025
44157074,sem_ordem_de_servico_no_periodo_2020_2025
4499,sem_ordem_de_servico_no_periodo_2020_2025
45205639,sem_ordem_de_servico_no_periodo_2020_2025
45205648,sem_ordem_de_servico_no_periodo_2020_2025
45205651,sem_ordem_de_servico_no_periodo_2020_2025
45205653,sem_ordem_de_servico_no_periodo_2020_2025
466123740,sem_ordem_de_servico_no_periodo_2020_2025
466123742,sem_ordem_de_servico_no_periodo_2020_2025
466123744,sem_ordem_de_servico_no_periodo_2020_2025
466123746,sem_ordem_de_servico_no_periodo_2020_2025
466123750,sem_ordem_de_servico_no_periodo_2020_2025
466123752,sem_ordem_de_servico_no_periodo_2020_2025
466123754,sem_ordem_de_servico_no_periodo_2020_2025
466123758,sem_ordem_de_servico_no_periodo_2020_2025
466123764,sem_ordem_de_servico_no_periodo_2020_2025
466123766,sem_ordem_de_servico_no_periodo_2020_2025
466123770,sem_ordem_de_servico_no_periodo_2020_2025
466123772,sem_ordem_de_servico_no_periodo_2020_2025
466123774,sem_ordem_de_servico_no_periodo_2020_2025
466123780,sem_ordem_de_servico_no_periodo_2020_2025
466123788,sem_ordem_de_servico_no_periodo_2020_2025
466123790,sem_ordem_de_servico_no_periodo_2020_2025
466123792,sem_ordem_de_servico_no_periodo_2020_2025
466123794,sem_ordem_de_servico_no_periodo_2020_2025
466123798,sem_ordem_de_servico_no_periodo_2020_2025
466123802,sem_ordem_de_servico_no_periodo_2020_2025
466123806,sem_ordem_de_servico_no_periodo_2020_2025
466123808,sem_ordem_de_servico_no_periodo_2020_2025
466123810,sem_ordem_de_servico_no_periodo_2020_2025
466123812,sem_ordem_de_servico_no_periodo_2020_2025
466123816,sem_ordem_de_servico_no_periodo_2020_2025
466123822,sem_ordem_de_servico_no_periodo_2020_2025
466123824,sem_ordem_de_servico_no_periodo_2020_2025
466123826,sem_ordem_de_servico_no_periodo_2020_2025
466123828,sem_ordem_de_servico_no_periodo_2020_2025
466123830,sem_ordem_de_servico_no_periodo_2020_2025
466123832,sem_ordem_de_servico_no_periodo_2020_2025
466123834,sem_ordem_de_servico_no_periodo_2020_2025
466125476,sem_ordem_de_servico_no_periodo_2020_2025
466125512,sem_ordem_de_servico_no_periodo_2020_2025
466125513,sem_ordem_de_servico_no_periodo_2020_2025
466125514,sem_ordem_de_servico_no_periodo_2020_2025
466125516,sem_ordem_de_servico_no_periodo_2020_2025
466125517,sem_ordem_de_servico_no_periodo_2020_2025
466125518,sem_ordem_de_servico_no_periodo_2020_2025
466125519,sem_ordem_de_servico_no_periodo_2020_2025
